Unnamed: 0,url,title,article,timestamp,Anti-China,Anti-Japan,Anti-US,China-Fellow,Japan-Fellow,US-Fellow,Anti-KMT,KMT-Fellow,Anti-DPP,DPP-Fellow,Anti-Taiwan-Gov,Taiwan-Gov-Fellow
0,https://www.setn.com/project.aspx?ProjectID=6964,新冠肺炎疫情：台灣疫苗施打、最新確診個案/染疫足跡/疫情新聞 不斷更新 | 衛福部疾管署 疫情指揮中心 疫情記者會直播 | COVID-19疫情最新資訊,今明預約「第二劑」AZ、莫德納 指揮中心說明(20211019/1400) 第12輪BNT預約！默沙東新冠口服藥「最後階段」莊人祥說明 戶外運動口罩可鬆綁？ 12輪預約明開跑 阿中14時說明(20211017/1400) 有情有義！日本擬第六度贈台疫苗 指揮中心說明(20211016/1400) 第11輪開打！二度加開BNT預約 指揮中心說明(20211015/1400) 不只疫苗！新冠口服藥「快簽約了」 指揮中心說明 議員爆民眾打過期疫苗市府喊「誤植」 柯文哲最新說明 第12輪意願今午結算！3疫苗接種規劃 陳時中說明 內湖幼兒園師擴採出爐 第11輪預約狀況？陳宗彥下午說明(20211012/1400) 117萬人今天預約「第一劑BNT」 指揮中心說明(20211011/1400),2021-10-19 15:58:52.168968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,https://www.setn.com/project.aspx?ProjectID=7230&utm_source=setn.com&utm_medium=menu&utm_campaign=projectid_7230,振興五倍券 使用全攻略！加碼券抽籤結果：國旅券、藝FUN券、農遊券、動滋券、客庄券、i原券、地方創生券 | 振興五倍券優惠 最新資訊 不斷更新,加碼五倍券北市「加倍奉還」 柯文哲說明辦法 五倍券來了！蘇貞昌親公布五倍券上路時間 5倍券要來了！政院公布規劃案樣張首度亮相 幸運兒是你？250萬人搶抽「紙本藝FUN券」 結果出爐 僅4%中獎率！客庄旅遊券直播抽獎結果出爐 700萬人搶抽「動滋券」 抽籤結果出爐 三倍券上路一週！行政院召開兌領說明記者會 三倍券領取人潮爆量 郵局分流措施真奏效？ 數位綁定三倍券 Gogoro抽獎大放送 三倍券7/1預購開跑！唐鳳、沈榮津親曝使用秘訣,2021-10-19 15:58:52.253301,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,https://www.setn.com/project.aspx?ProjectID=7230,振興五倍券 使用全攻略！加碼券抽籤結果：國旅券、藝FUN券、農遊券、動滋券、客庄券、i原券、地方創生券 | 振興五倍券優惠 最新資訊 不斷更新,加碼五倍券北市「加倍奉還」 柯文哲說明辦法 五倍券來了！蘇貞昌親公布五倍券上路時間 5倍券要來了！政院公布規劃案樣張首度亮相 幸運兒是你？250萬人搶抽「紙本藝FUN券」 結果出爐 僅4%中獎率！客庄旅遊券直播抽獎結果出爐 700萬人搶抽「動滋券」 抽籤結果出爐 三倍券上路一週！行政院召開兌領說明記者會 三倍券領取人潮爆量 郵局分流措施真奏效？ 數位綁定三倍券 Gogoro抽獎大放送 三倍券7/1預購開跑！唐鳳、沈榮津親曝使用秘訣,2021-10-19 15:58:52.283214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,https://www.setn.com/ViewAll.aspx,百白三立新聞網專訪 夏和熙胡宇威王子邱勝翊連晨翔出席公益 蔡詩芸推出創作專輯SKY慶功記者會 焦凡凡三立新聞網專訪 若綺三立新聞網專訪 鳥來伯與13姨演員藝鴒三立新聞網專訪 邱沁宜范琪斐王志郁財經iNEWS娛樂 趙正平梓梓壯壯虔虔愛語莎up直播 劉昊三立新聞網專訪 王宥忻三立新聞網專訪,寶島神很大 HOT焦點 三立新聞網,2021-10-19 15:58:52.550970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,https://www.setn.com/TellMe.aspx?DType=3,百白三立新聞網專訪 夏和熙胡宇威王子邱勝翊連晨翔出席公益 蔡詩芸推出創作專輯SKY慶功記者會 焦凡凡三立新聞網專訪 若綺三立新聞網專訪 鳥來伯與13姨演員藝鴒三立新聞網專訪 邱沁宜范琪斐王志郁財經iNEWS娛樂 趙正平梓梓壯壯虔虔愛語莎up直播 劉昊三立新聞網專訪 王宥忻三立新聞網專訪,選擇檔案 三立新聞網,2021-10-19 15:58:52.953451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,https://www.setn.com/News.aspx?NewsID=1014522,換你翻身！4生肖財星加持「運勢起飛狂吸金」荷包賺飽飽,看更多《星座運勢報你知》專題報導 三立新聞網 生活中心／綜合報導 快到年底大家都希望可以多賺一點錢，清水孟國際塔羅的小孟老師就分析，以下四生肖的人這陣子偏財運特別好，可以好好把握身邊機會。 ▲ 以下四生肖人近期財運佳。（圖／資料照） 屬兔的朋友可以試試手氣買個彩券，偏財運不錯有機會中奬，另外也有機會遇到有折扣優惠的商品，或是有其他的兼差機會幫自己增加收入。 屬猴的頭腦，總是有著新奇的想法，也喜歡思考運用天生機靈的頭腦，近期你可以在事業上好好發揮，鐵定會發光發熱，升官加薪。 ▲小孟老建議屬鼠的人，近期可花時間研究投資理財。 （圖／小孟老師提供） 你的口才很好，再加上天生的光芒，為自己加分不少，得到客戶的愛戴，也贏得老闆上司的認同，有機會在不景氣的大環境中，逆勢成長。 屬鼠的朋友總是辛勤且默默耕耘，不妨改變策略，偏財運特別高，只要你們多花時間在投資買賣，有很高的機率能夠賺得額外的收入，工作上面也可能突然會有一筆額外獎金。,2021-10-19 15:58:53.235345,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,https://www.setn.com/News.aspx?NewsID=1014479,準氣象／下波鋒面週四到！連下4天更濕涼 雨區比上一波大,看更多《三立準氣象》專題報導 三立新聞網 三立準氣象／林奇樺報導 近幾日北部在早晚明顯感受到涼意，讓人也發覺秋天是真的到了。不過要提醒大家的是，週四（21日）晚間開始，又會有鋒面、東北風南下，強度雖然沒有上一波強，但帶來的水氣會比上一波多，除了迎風面的東北部及東部外，苗栗以北以及中南部山區都有可能降雨，甚至北部地區的雨勢還有可能達到發特報的等級。 ▲週四晚間，鋒面和東北季風報到，又會轉為濕涼的天氣。 氣象專家、三立氣象主播吳德榮於今日的「三立準氣象」中表示，今日僅在北海岸、東半部及南部山區有零星降雨，而各地氣溫和昨天比起來稍微回升，而明天的天氣則是和今天差不多，早晚偏涼，白天高溫也會比今天高個1度，也是東北部會有零星降雨。 ▲明天早晚偏涼，北海岸有零星降雨。 不過吳德榮表示，等到了週四晚間，又會有新的鋒面和東北季風影響台灣，隨著北方系統南下，週四晚間開始，持續到週日（24日）甚至是下週一 （25日），天氣就會變得不穩定。 ▲週四晚間開始，天氣又會變不穩定。 新一波報到的冷空氣的水氣比起上一波還要多，因此苗栗以北、東北部及花東地區的降雨機率都會提高，中南部山區也會有短暫降雨的現象，其中在北台灣的雨勢比較大，甚至還有可能達到發布大雨特報的等級。雖然這一波北方系統的強度和上一波差不多，但因為降雨的關係，白天高溫要比上一波還要低，而北部地區的低溫也約在18度左右。 ▲因為下雨的情形，週四晚間到週日，北部白天高溫將會比上一波還要低。,2021-10-19 15:58:53.717942,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,https://www.setn.com/project.aspx?ProjectID=120,三立獨家 Exclusive | 第一手現場直擊、深度追蹤報導、新聞幕後觀察,三立新聞台直播 三立iNEWS新聞台直播,2021-10-19 15:58:53.763300,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,https://www.setn.com/News.aspx?NewsID=1014351,《玻璃心》點擊飆556萬奪冠！遭疑「辱華」黃明志開釋了,三立新聞網 娛樂中心／蘇家詩報導【 10/19 17:17 發稿 ｜ 19:09 更新：新增影音 】 大馬歌手黃明志近來和陳芳語合作新歌《玻璃心》，雖然看似是一首浪漫情歌，但其實歌詞處處都有「辱華」的爭議，暗諷大陸酸民「小粉紅」，兩人的微博也在推出當天被消失。但觀看次數目前也已高達566萬觀看人數，也登上了熱門歌曲的第一名，黃明志也在臉書發表對新歌的看法，引網熱議。 ▲黃明志近日和陳芳語合唱新歌《玻璃心》。（圖／翻攝自黃明志臉書） 看到新歌《玻璃心》備受討論，黃明志今（19日）發文表示，他發現了不同的人在聽這首歌，會有不同的解讀，「單純的人：這不就是一首情歌嗎？有什麼問題？玻璃心人：是在辱我們嗎？正常的人：哈哈！這根本就是在酸XX啦！超級鐵粉：這不就是一首情歌嗎？有什麼問題？」。 ▲黃明志今（19日）在臉書發表自己對新歌的看法。（圖／翻攝自黃明志臉書） 文章一出，也讓大批網友狂讚黃明志是「鬼才」，出一首歌就能讓「小粉紅」聽到牙癢癢，紛紛留言：「就是一首神曲 有什麼好說的」、「今天就聽好幾遍」、「歌曲只有兩種 - 好聽跟不好聽。 做人不要那麼複雜」，有名網友更大讚：「你比周杰倫，蕭敬騰還有才華」，引網熱議。,2021-10-19 15:58:54.053108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,https://www.setn.com/News.aspx?NewsID=1014328,新北今增3起「打疫苗後死亡」 全接種過AZ疫苗,看更多《新冠肺炎最新疫情》專題報導 看更多 新冠肺炎（COVID-19）疫情 最新報導： 三立新聞網 記者陳政宇／台北報導 全台進入大規模施打疫苗階段後，傳出數起不良反應及猝死個案，確切死因是否與疫苗有關，仍有待指揮中心釐清。新北市衛生局今（19）日通報3例接種後死亡個案，均施打過AZ疫苗。 ▲ 新北衛生局通報3例接種後死亡個案，均施打過AZ疫苗。（示意圖／翻攝自Pixabay） 新北衛生局今日說明，三重區通報一名59歲男性，身患腎臟疾病，6月16日接種AZ第1劑無特別症狀，9月24日接種AZ第2劑，9月30日突然出現意識不清，紧急通報119送醫，搶救不治死亡。 第二案是土城區通報的54歲女性，曾有氣喘病史，7月26日接種AZ，7月28日出現發燒與腹瀉，持續1個月，9月14日出現四肢瘀青，10月5日出現走路會喘與畏冷，緊急就醫，10月6日出現昏迷、腦出血及血壓低，轉加護病房，經醫師診斷為急性白血病，10月8日死亡。 第三案是板橋區通報的85歲女性，身患高血壓與高血糖，6月16日接種AZ第1劑無特別症狀，10月6日接種AZ第2劑，當天出現嘔吐及食慾不振，緊急送至亞東醫就醫，經醫師診斷為腎臟衰竭，10月14日死亡。 衛生局指出，目前新北市通報累積統計共160例（AZ有125例、莫德納有29例、高端有5例、BNT有1例），對於接獲疫苗施打後的不良事件通報，或民眾有疑義通報，新北市衛生局都會將相關資料上傳疾管署通報系統。至於個案死亡原因是否與疫苗有關，由中央「預防接種受害救濟審議小組」審議認定。,2021-10-19 15:58:54.136885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
